file-name;out-dir;ollama-model;stt-engine;whisper-device;llm-temperature;seed
01-llama3_2_1b_instruct_q4_K_M-t0_0-vosk_cpu.yaml;01-llama3_2_1b_instruct_q4_K_M-t0_0-vosk_cpu;llama3.2:1b-instruct-q4_K_M;vosk;cuda;0;null
02-llama3_2_1b_instruct_q4_K_M-t0.7_s42-vosk_cpu.yaml;02-llama3_2_1b_instruct_q4_K_M-t0.7_s42-vosk_cpu;llama3.2:1b-instruct-q4_K_M;vosk;cuda;0.7;42
03-llama3_2_3b_instruct_q4_K_M-t0_0-vosk_cpu.yaml;03-llama3_2_3b_instruct_q4_K_M-t0_0-vosk_cpu;llama3.2:3b-instruct-q4_K_M;vosk;cuda;0;null
04-llama3_2_3b_instruct_q4_K_M-t0.7_s42-vosk_cpu.yaml;04-llama3_2_3b_instruct_q4_K_M-t0.7_s42-vosk_cpu;llama3.2:3b-instruct-q4_K_M;vosk;cuda;0.7;42
05-llama3_1_8b_instruct_q4_K_M-t0_0-vosk_cpu.yaml;05-llama3_1_8b_instruct_q4_K_M-t0_0-vosk_cpu;llama3.1:8b-instruct-q4_K_M;vosk;cuda;0;null
06-llama3_1_8b_instruct_q4_K_M-t0.7_s42-vosk_cpu.yaml;06-llama3_1_8b_instruct_q4_K_M-t0.7_s42-vosk_cpu;llama3.1:8b-instruct-q4_K_M;vosk;cuda;0.7;42
07-llama3_1_8b_instruct_q8_0-t0_0-vosk_cpu.yaml;07-llama3_1_8b_instruct_q8_0-t0_0-vosk_cpu;llama3.1:8b-instruct-q8_0;vosk;cuda;0;null
08-llama3_1_8b_instruct_q8_0-t0.7_s42-vosk_cpu.yaml;08-llama3_1_8b_instruct_q8_0-t0.7_s42-vosk_cpu;llama3.1:8b-instruct-q8_0;vosk;cuda;0.7;42
09-llama3_1_8b_instruct_fp16-t0_0-vosk_cpu.yaml;09-llama3_1_8b_instruct_fp16-t0_0-vosk_cpu;llama3.1:8b-instruct-fp16;vosk;cuda;0;null
10-llama3_1_8b_instruct_fp16-t0.7_s42-vosk_cpu.yaml;10-llama3_1_8b_instruct_fp16-t0.7_s42-vosk_cpu;llama3.1:8b-instruct-fp16;vosk;cuda;0.7;42
