run,model_tag,setting,recognizer,n_items,rho_adherence,rho_request_coverage,rho_intent_coverage,rho_word_count,rho_e2e_ms
01 llama3.2:1b-q4_K_M t0,llama3.2:1b-instruct-q4_K_M,t0,vosk-small-en-us-0.15-cpu,120,-0.2208,0.132,-0.1674,0.25,0.1445
02 llama3.2:1b-q4_K_M t0.7/s42,llama3.2:1b-instruct-q4_K_M,t0.7/s42,vosk-small-en-us-0.15-cpu,120,-0.2228,0.1418,-0.118,0.1805,0.1462
03 llama3.2:3b-q4_K_M t0,llama3.2:3b-instruct-q4_K_M,t0,vosk-small-en-us-0.15-cpu,120,0.1582,-0.1817,-0.5325,0.0347,0.1414
04 llama3.2:3b-q4_K_M t0.7/s42,llama3.2:3b-instruct-q4_K_M,t0.7/s42,vosk-small-en-us-0.15-cpu,120,0.0476,-0.1229,-0.4932,0.0664,0.1233
05 llama3.1:8b-q4_K_M t0,llama3.1:8b-instruct-q4_K_M,t0,vosk-small-en-us-0.15-cpu,120,-0.0359,-0.2559,-0.5862,-0.1456,0.1153
06 llama3.1:8b-q4_K_M t0.7/s42,llama3.1:8b-instruct-q4_K_M,t0.7/s42,vosk-small-en-us-0.15-cpu,120,-0.0846,-0.198,-0.5019,0.0269,0.1291
07 llama3.1:8b-q8_0 t0,llama3.1:8b-instruct-q8_0,t0,vosk-small-en-us-0.15-cpu,120,-0.1957,-0.1915,-0.5866,-0.1701,0.1125
08 llama3.1:8b-q8_0 t0.7/s42,llama3.1:8b-instruct-q8_0,t0.7/s42,vosk-small-en-us-0.15-cpu,120,-0.0466,-0.1612,-0.5207,-0.2393,0.0976
09 llama3.1:8b-fp16 t0,llama3.1:8b-instruct-fp16,t0,vosk-small-en-us-0.15-cpu,120,-0.1998,-0.1875,-0.5714,-0.1432,0.0953
10 llama3.1:8b-fp16 t0.7/s42,llama3.1:8b-instruct-fp16,t0.7/s42,vosk-small-en-us-0.15-cpu,120,-0.1701,-0.0954,-0.4461,-0.1623,0.0858
11 qwen2.5:1.5b-q4_K_M t0,qwen2.5:1.5b-instruct-q4_K_M,t0,vosk-small-en-us-0.15-cpu,120,0.1324,-0.1152,-0.4458,-0.0219,0.1345
12 qwen2.5:1.5b-q4_K_M t0.7/s42,qwen2.5:1.5b-instruct-q4_K_M,t0.7/s42,vosk-small-en-us-0.15-cpu,120,0.0554,-0.112,-0.4154,0.0733,0.1425
13 qwen2.5:3b-q4_K_M t0,qwen2.5:3b-instruct-q4_K_M,t0,vosk-small-en-us-0.15-cpu,120,-0.1279,-0.2078,-0.5111,0.1327,0.1489
14 qwen2.5:3b-q4_K_M t0.7/s42,qwen2.5:3b-instruct-q4_K_M,t0.7/s42,vosk-small-en-us-0.15-cpu,120,-0.0725,-0.1191,-0.4257,0.0638,0.146
15 qwen2.5:7b-q4_K_M t0,qwen2.5:7b-instruct-q4_K_M,t0,vosk-small-en-us-0.15-cpu,120,-0.1405,-0.1956,-0.4756,0.2276,0.151
16 qwen2.5:7b-q4_K_M t0.7/s42,qwen2.5:7b-instruct-q4_K_M,t0.7/s42,vosk-small-en-us-0.15-cpu,120,-0.0213,-0.1322,-0.4959,0.1801,0.1489
21 gemma3:27b-q4_K_M t0,gemma3:27b-it-q4_K_M,t0,vosk-small-en-us-0.15-cpu,120,-0.114,-0.0554,-0.452,0.0307,0.1439
22 gemma3:27b-q4_K_M t0.7/s42,gemma3:27b-it-q4_K_M,t0.7/s42,vosk-small-en-us-0.15-cpu,120,-0.112,-0.0499,-0.4325,0.0437,0.1432
23 qwen2.5:32b-q4_K_M t0,qwen2.5:32b-instruct-q4_K_M,t0,vosk-small-en-us-0.15-cpu,120,-0.2057,-0.0527,-0.4294,0.0031,0.09
24 qwen2.5:32b-q4_K_M t0.7/s42,qwen2.5:32b-instruct-q4_K_M,t0.7/s42,vosk-small-en-us-0.15-cpu,120,-0.0407,-0.0745,-0.4418,-0.047,0.1205
25 llama3.2:1b-q4_K_M t0,llama3.2:1b-instruct-q4_K_M,t0,whisper-small-cuda-int8,120,-0.1202,-0.0897,-0.408,0.1073,0.1942
26 llama3.2:3b-q4_K_M t0,llama3.2:3b-instruct-q4_K_M,t0,whisper-small-cuda-int8,120,-0.0393,0.0677,-0.4012,0.1871,0.1938
27 llama3.1:8b-q4_K_M t0,llama3.1:8b-instruct-q4_K_M,t0,whisper-small-cuda-int8,120,-0.1032,-0.0938,-0.4565,-0.0253,0.1529
30 qwen2.5:1.5b-q4_K_M t0,qwen2.5:1.5b-instruct-q4_K_M,t0,whisper-small-cuda-int8,120,-0.0768,-0.0661,-0.456,0.0282,0.1748
31 qwen2.5:3b-q4_K_M t0,qwen2.5:3b-instruct-q4_K_M,t0,whisper-small-cuda-int8,120,-0.1127,-0.109,-0.3995,0.0579,0.1866
32 qwen2.5:7b-q4_K_M t0,qwen2.5:7b-instruct-q4_K_M,t0,whisper-small-cuda-int8,120,-0.2321,0.0308,-0.3177,0.1178,0.1993
35 gemma3:27b-q4_K_M t0,gemma3:27b-it-q4_K_M,t0,whisper-small-cuda-int8,120,0.0386,0.0332,-0.4368,0.089,0.1932
36 qwen2.5:32b-q4_K_M t0,qwen2.5:32b-instruct-q4_K_M,t0,whisper-small-cuda-int8,120,-0.0713,-0.0882,-0.3997,0.0013,0.1827
