run,model_tag,setting,recognizer,stratum,n_items,constraint_item_rate_strict,stt_wer_median,request_coverage_median,intent_coverage_median,echo_ratio_median,word_count_median,lat_e2e_response_ready_median,answer_presence_rate
01 llama3.2:1b-q4_K_M t0,llama3.2:1b-instruct-q4_K_M,t0,vosk-small-en-us-0.15-cpu,clean,17,0.4118,0.0,0.0,0.0,0.0,5.0,6802.0,0.0
01 llama3.2:1b-q4_K_M t0,llama3.2:1b-instruct-q4_K_M,t0,vosk-small-en-us-0.15-cpu,mild,66,0.2727,0.2,0.303,0.31,0.25,7.5,7291.0,0.015
01 llama3.2:1b-q4_K_M t0,llama3.2:1b-instruct-q4_K_M,t0,vosk-small-en-us-0.15-cpu,severe,37,0.1351,0.692,0.265,0.0,0.25,8.0,7622.0,0.054
02 llama3.2:1b-q4_K_M t0.7/s42,llama3.2:1b-instruct-q4_K_M,t0.7/s42,vosk-small-en-us-0.15-cpu,clean,17,0.5294,0.0,0.0,0.0,0.0,5.0,6868.0,0.0
02 llama3.2:1b-q4_K_M t0.7/s42,llama3.2:1b-instruct-q4_K_M,t0.7/s42,vosk-small-en-us-0.15-cpu,mild,66,0.2879,0.2,0.165,0.148,0.155,6.0,7339.0,0.0
02 llama3.2:1b-q4_K_M t0.7/s42,llama3.2:1b-instruct-q4_K_M,t0.7/s42,vosk-small-en-us-0.15-cpu,severe,37,0.2162,0.692,0.187,0.0,0.25,7.0,7675.0,0.0
03 llama3.2:3b-q4_K_M t0,llama3.2:3b-instruct-q4_K_M,t0,vosk-small-en-us-0.15-cpu,clean,17,0.0588,0.0,0.786,0.786,0.294,12.0,7117.0,0.059
03 llama3.2:3b-q4_K_M t0,llama3.2:3b-instruct-q4_K_M,t0,vosk-small-en-us-0.15-cpu,mild,66,0.1515,0.2,0.534,0.473,0.333,14.0,7323.0,0.03
03 llama3.2:3b-q4_K_M t0,llama3.2:3b-instruct-q4_K_M,t0,vosk-small-en-us-0.15-cpu,severe,37,0.2162,0.692,0.311,0.0,0.286,14.0,7742.0,0.0
04 llama3.2:3b-q4_K_M t0.7/s42,llama3.2:3b-instruct-q4_K_M,t0.7/s42,vosk-small-en-us-0.15-cpu,clean,17,0.0588,0.0,0.746,0.746,0.25,19.0,7258.0,0.0
04 llama3.2:3b-q4_K_M t0.7/s42,llama3.2:3b-instruct-q4_K_M,t0.7/s42,vosk-small-en-us-0.15-cpu,mild,66,0.1061,0.2,0.455,0.322,0.297,12.0,7298.0,0.045
04 llama3.2:3b-q4_K_M t0.7/s42,llama3.2:3b-instruct-q4_K_M,t0.7/s42,vosk-small-en-us-0.15-cpu,severe,37,0.0811,0.692,0.394,0.0,0.2,18.0,7648.0,0.0
