run,cell,model_tag,family,size_label,size_b,quantization,precision_bits,temperature,seed,num_ctx,max_tokens,system_prompt_file,stt_engine,stt_model,stt_device,recognizer,mode,n_items,n_empty_responses,adherence_item_strict,adherence_item_loose,check_pass_rate_strict,answer_items_scored,n_answerable_short_span,answer_presence_short_span,exact_match_short_span,token_f1_short_span,answer_presence_long_span,answer_presence_plausible,coverage_stt_median,coverage_ori_median,echo_median,words_median,sentences_median,opening_words_median,reading_ease_median,grade_level_median,stt_wer_median_control,tokens_per_sec_median,prompt_tokens_median,generated_tokens_median,tts_audio_ms_median,prompt_eval_ms_median,ttft_ms_median,chunk_fill_ms_median,ttfc_ms_median,tts_first_chunk_ms_median,ttfa_ms_median,ttfa_ms_p90,ttfa_ms_p95,llm_eval_ms_median,tts_total_ms_median,e2e_ms_median,e2e_ms_p90,e2e_ms_p95,stt_ms_control_median,endpoint_delay_ms_control_median,llm_model_vram_mb,llm_vram_mb,gpu_mem_used_mb,llm_rss_mb,cpu_percent,ram_percent,gpu_util_percent,run_dir,results_dir
01 llama3.2:1b-q4_K_M t0,01-llama3_2_1b_instruct_q4_K_M-t0_0-vosk_cpu,llama3.2:1b-instruct-q4_K_M,llama3.2,1b,1.0,q4_K_M,4,0.0,,1024,150,./prompts/short-opener.txt,vosk,small-en-us-0.15,cpu,vosk-small-en-us-0.15-cpu,cpu,120,0,0.25,0.25,0.9081,120,81,0.037,0.012,0.046,0.0,0.0,0.2499,0.1661,0.25,7.0,1.0,7.0,63.855,6.72,0.2727,97.8,322.0,11.0,2925.0,19.0,872.0,98.0,970.0,161.0,2047.0,2308.6,2370.1,111.0,172.0,7384.0,9714.0,10265.6,7227.0,937.0,856.0,1266.0,1266.0,778.9,8.9,5.5,2.0,..\results\text-only\01-llama3_2_1b_instruct_q4_K_M-t0_0-vosk_cpu\20260815_104605,runs/01-llama3_2_1b_instruct_q4_K_M-t0_0-vosk_cpu
02 llama3.2:1b-q4_K_M t0.7/s42,02-llama3_2_1b_instruct_q4_K_M-t0.7_s42-vosk_cpu,llama3.2:1b-instruct-q4_K_M,llama3.2,1b,1.0,q4_K_M,4,0.7,42,1024,150,./prompts/short-opener.txt,vosk,small-en-us-0.15,cpu,vosk-small-en-us-0.15-cpu,cpu,120,0,0.3,0.3,0.9016,120,81,0.0,0.0,0.031,0.0,0.0,0.1589,0.0,0.1548,6.0,1.0,6.0,59.695,8.25,0.2727,94.6,322.0,9.0,2449.0,19.0,866.0,91.0,954.0,148.0,2033.0,2292.8,2375.9,100.0,151.0,7473.0,9717.8,10168.5,7227.0,936.0,856.0,1266.0,1266.0,778.6,8.9,5.3,2.0,..\results\text-only\02-llama3_2_1b_instruct_q4_K_M-t0.7_s42-vosk_cpu\20260815_110144,runs/02-llama3_2_1b_instruct_q4_K_M-t0.7_s42-vosk_cpu
03 llama3.2:3b-q4_K_M t0,03-llama3_2_3b_instruct_q4_K_M-t0_0-vosk_cpu,llama3.2:3b-instruct-q4_K_M,llama3.2,3b,3.0,q4_K_M,4,0.0,,1024,150,./prompts/short-opener.txt,vosk,small-en-us-0.15,cpu,vosk-small-en-us-0.15-cpu,cpu,120,0,0.1583,0.1583,0.8987,120,81,0.037,0.0,0.032,0.0,0.0,0.5034,0.2894,0.3205,14.0,1.0,10.0,59.715,8.36,0.2727,86.5,322.0,20.0,4690.0,28.0,867.0,159.0,1041.0,211.0,2188.0,2479.8,2534.3,224.0,252.0,7522.0,9786.4,10363.5,7232.0,935.0,2097.0,2540.0,2540.0,864.1,8.9,5.1,5.9,..\results\text-only\03-llama3_2_3b_instruct_q4_K_M-t0_0-vosk_cpu\20260815_111722,runs/03-llama3_2_3b_instruct_q4_K_M-t0_0-vosk_cpu
04 llama3.2:3b-q4_K_M t0.7/s42,04-llama3_2_3b_instruct_q4_K_M-t0.7_s42-vosk_cpu,llama3.2:3b-instruct-q4_K_M,llama3.2,3b,3.0,q4_K_M,4,0.7,42,1024,150,./prompts/short-opener.txt,vosk,small-en-us-0.15,cpu,vosk-small-en-us-0.15-cpu,cpu,120,0,0.0917,0.0917,0.8908,120,81,0.037,0.012,0.046,0.0,0.0,0.4726,0.2558,0.25,16.0,1.0,12.0,56.94,8.83,0.2727,89.9,322.0,22.0,5259.0,28.0,875.0,177.0,1056.0,235.0,2196.0,2501.0,2601.0,241.0,274.0,7474.0,10028.0,10331.7,7228.0,936.0,2097.0,2540.0,2540.0,864.2,8.9,5.1,7.1,..\results\text-only\04-llama3_2_3b_instruct_q4_K_M-t0.7_s42-vosk_cpu\20260815_113331,runs/04-llama3_2_3b_instruct_q4_K_M-t0.7_s42-vosk_cpu
05 llama3.1:8b-q4_K_M t0,05-llama3_1_8b_instruct_q4_K_M-t0_0-vosk_cpu,llama3.1:8b-instruct-q4_K_M,llama3.1,8b,8.0,q4_K_M,4,0.0,,1024,150,./prompts/short-opener.txt,vosk,small-en-us-0.15,cpu,vosk-small-en-us-0.15-cpu,cpu,120,0,0.1667,0.1667,0.9133,120,81,0.086,0.0,0.028,0.0,0.0,0.4849,0.3419,0.1695,29.0,2.0,8.0,56.99,9.07,0.2727,69.9,307.0,37.0,10634.0,39.0,865.0,184.0,1066.0,184.0,2134.0,2597.8,2687.4,530.0,519.0,7710.0,10094.0,10588.4,7224.0,929.0,4640.0,5164.0,5164.0,835.1,9.0,5.2,21.0,..\results\text-only\05-llama3_1_8b_instruct_q4_K_M-t0_0-vosk_cpu\20260815_114924,runs/05-llama3_1_8b_instruct_q4_K_M-t0_0-vosk_cpu
06 llama3.1:8b-q4_K_M t0.7/s42,06-llama3_1_8b_instruct_q4_K_M-t0.7_s42-vosk_cpu,llama3.1:8b-instruct-q4_K_M,llama3.1,8b,8.0,q4_K_M,4,0.7,42,1024,150,./prompts/short-opener.txt,vosk,small-en-us-0.15,cpu,vosk-small-en-us-0.15-cpu,cpu,120,0,0.2167,0.2167,0.9208,120,81,0.074,0.0,0.025,0.0,0.0,0.4293,0.3699,0.1429,30.0,2.0,8.0,51.225,9.625,0.2727,70.2,307.0,39.0,11412.0,38.0,863.0,179.0,1043.0,172.0,2149.0,2586.6,2668.7,554.0,549.0,7757.0,10071.4,10625.7,7231.0,934.0,4640.0,5164.0,5164.0,841.5,9.1,5.2,25.0,..\results\text-only\06-llama3_1_8b_instruct_q4_K_M-t0.7_s42-vosk_cpu\20260815_120554,runs/06-llama3_1_8b_instruct_q4_K_M-t0.7_s42-vosk_cpu
07 llama3.1:8b-q8_0 t0,07-llama3_1_8b_instruct_q8_0-t0_0-vosk_cpu,llama3.1:8b-instruct-q8_0,llama3.1,8b,8.0,q8_0,8,0.0,,1024,150,./prompts/short-opener.txt,vosk,small-en-us-0.15,cpu,vosk-small-en-us-0.15-cpu,cpu,120,0,0.1,0.1,0.9033,120,81,0.086,0.0,0.021,0.0,0.0,0.5059,0.3386,0.1779,30.0,2.0,10.0,54.92,9.53,0.2727,57.1,307.0,38.0,10913.0,43.0,875.0,246.0,1130.0,218.0,2259.0,2666.8,2777.4,673.0,535.0,8057.0,10375.6,10654.2,7241.0,930.0,7842.0,8364.0,8364.0,1075.2,9.6,5.0,28.1,..\results\text-only\07-llama3_1_8b_instruct_q8_0-t0_0-vosk_cpu\20260815_125241,runs/07-llama3_1_8b_instruct_q8_0-t0_0-vosk_cpu
08 llama3.1:8b-q8_0 t0.7/s42,08-llama3_1_8b_instruct_q8_0-t0.7_s42-vosk_cpu,llama3.1:8b-instruct-q8_0,llama3.1,8b,8.0,q8_0,8,0.7,42,1024,150,./prompts/short-opener.txt,vosk,small-en-us-0.15,cpu,vosk-small-en-us-0.15-cpu,cpu,120,0,0.15,0.15,0.9083,120,81,0.086,0.0,0.025,0.0,0.0,0.4916,0.3611,0.1538,34.0,2.0,10.0,51.115,9.585,0.2727,57.1,307.0,44.0,12596.0,42.0,866.0,251.0,1123.0,212.0,2239.0,2700.2,2758.5,767.0,599.0,7898.0,10275.0,10705.6,7225.0,935.0,7842.0,8364.0,8364.0,1083.0,9.6,5.0,28.4,..\results\text-only\08-llama3_1_8b_instruct_q8_0-t0.7_s42-vosk_cpu\20260815_130924,runs/08-llama3_1_8b_instruct_q8_0-t0.7_s42-vosk_cpu
09 llama3.1:8b-fp16 t0,09-llama3_1_8b_instruct_fp16-t0_0-vosk_cpu,llama3.1:8b-instruct-fp16,llama3.1,8b,8.0,fp16,16,0.0,,1024,150,./prompts/short-opener.txt,vosk,small-en-us-0.15,cpu,vosk-small-en-us-0.15-cpu,cpu,120,0,0.0833,0.0833,0.9033,120,81,0.111,0.0,0.022,0.0,0.0,0.5087,0.3379,0.1791,29.5,2.0,11.5,55.62,9.495,0.2727,41.7,307.0,37.0,10762.0,46.0,868.0,336.0,1239.0,220.0,2379.0,2864.0,2941.0,886.0,527.0,8095.0,10520.6,10955.0,7225.0,934.0,14552.0,14930.0,14930.0,1591.3,8.9,5.0,48.9,..\results\text-only\09-llama3_1_8b_instruct_fp16-t0_0-vosk_cpu\20260815_132601,runs/09-llama3_1_8b_instruct_fp16-t0_0-vosk_cpu
10 llama3.1:8b-fp16 t0.7/s42,10-llama3_1_8b_instruct_fp16-t0.7_s42-vosk_cpu,llama3.1:8b-instruct-fp16,llama3.1,8b,8.0,fp16,16,0.7,42,1024,150,./prompts/short-opener.txt,vosk,small-en-us-0.15,cpu,vosk-small-en-us-0.15-cpu,cpu,120,0,0.1417,0.1417,0.9033,120,81,0.136,0.0,0.03,0.0,0.0,0.4816,0.383,0.1596,32.0,2.0,10.0,54.395,9.18,0.2727,41.7,307.0,41.0,11017.0,45.0,877.0,308.0,1198.0,207.0,2312.0,2807.8,2888.9,965.0,560.0,8044.0,10613.2,11009.0,7226.0,934.0,14552.0,14930.0,14930.0,1606.9,9.1,5.1,48.5,..\results\text-only\10-llama3_1_8b_instruct_fp16-t0.7_s42-vosk_cpu\20260815_134312,runs/10-llama3_1_8b_instruct_fp16-t0.7_s42-vosk_cpu
